country,year,policy_rate_eop,policy_rate_avg,lending_rate
TR,2010,6.5,6.791666666666667,
TR,2011,5.75,6.041666666666667,
TR,2012,5.5,5.729166666666667,
TR,2013,4.5,4.791666666666667,
TR,2014,8.25,8.979166666666666,
TR,2015,7.5,7.520833333333333,
TR,2016,8.0,7.583333333333333,
TR,2017,8.0,8.0,
TR,2018,24.0,15.770833333333334,
TR,2019,12.0,20.0,
TR,2020,17.0,10.5,
TR,2021,14.0,17.583333333333332,
TR,2022,9.0,12.625,
TR,2023,42.5,20.666666666666668,
TR,2024,47.5,48.958333333333336,
TR,2025,38.0,42.833333333333336,
TR,2026,,37.0,
VN,2010,,,13.13525
VN,2011,,,16.9538333333333
VN,2012,,,13.4716666666667
VN,2013,,,10.3741666666667
VN,2014,,,8.665
VN,2015,,,7.1175
VN,2016,,,6.96
VN,2017,,,7.0675
VN,2018,,,7.371875
VN,2019,,,7.7075
VN,2020,,,7.6475
VN,2021,,,7.811
VN,2022,,,8.01333333333333
VN,2023,,,9.323
