total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,st_debt_share,implied_rate,icr,roa,ebit_margin,debt_growth,altman_z,country,source,dose_pp
,,,,,,,,,,,,,,,4IG,2021,,,,,,,,,,,,HU,yahoo,10.6
940020000000.0,327033000000.0,46259000000.0,161418000000.0,190024000000.0,8944000000.0,424320000000.0,476322000000.0,41987000000.0,277421000000.0,14953000000.0,89798000000.0,30185000000.0,-15232000000.0,-20874000000.0,4IG,2022,433264000000.0,749996000000.0,,0.460909342354418,0.020643302928468554,0.06966883932198382,0.49537849925459665,0.01590710835939661,0.05390002919750127,,4.92429886430353,HU,yahoo,10.6
1506672000000.0,249108000000.0,53116000000.0,256452000000.0,122564000000.0,14104000000.0,741806000000.0,898975000000.0,-25963000000.0,592809000000.0,41277000000.0,212197000000.0,59899000000.0,-18622000000.0,-29492000000.0,4IG,2023,755910000000.0,1384108000000.0,433264000000.0,0.5017084010322087,0.018658305882975488,0.10074051400383796,0.6891100018364247,0.027396141960559433,0.06962950967343613,0.5565750794936015,3.438928598452176,HU,yahoo,10.6
1508384000000.0,225128000000.0,60559000000.0,258733000000.0,85300000000.0,10051000000.0,768646000000.0,938540000000.0,-71799000000.0,687176000000.0,24047000000.0,215474000000.0,64609000000.0,-40562000000.0,-45836000000.0,4IG,2024,778697000000.0,1423084000000.0,755910000000.0,0.516245863122388,0.012907459512493306,0.08420266556844846,0.37219272856722746,0.015942226913040713,0.034993946237936134,0.0296996885269607,3.1187441976418944,HU,yahoo,10.6
1754164000000.0,375854000000.0,143363000000.0,287807000000.0,134784000000.0,12087000000.0,777027000000.0,954550000000.0,-16571000000.0,745297000000.0,106103000000.0,301227000000.0,62796000000.0,43307000000.0,-5344000000.0,4IG,2025,789114000000.0,1619380000000.0,778697000000.0,0.44985189526178854,0.015317178506527574,0.08010659448109497,1.6896458373144787,0.060486362734613185,0.14236337996798593,0.013288787099977384,4.042332677186149,HU,yahoo,10.6
,,,,,,,,,,,,,,,ALTEO,2021,,,,,,,,,,,,HU,yahoo,10.6
100020394000.0,65078937000.0,16465328000.0,46615900000.0,26602913000.0,7185732000.0,19328325000.0,28754254000.0,19170998000.0,103027053000.0,19159465000.0,22686627000.0,3402730000.0,15756735000.0,12887893000.0,ALTEO,2022,26514057000.0,73417481000.0,,0.26508650825750596,0.2710159369424302,0.12833682902620297,5.630615711502235,0.1915555841541676,0.185965379403796,,6.753497668906426,HU,yahoo,10.6
91977779000.0,48404853000.0,24345080000.0,29470276000.0,33810529000.0,1703817000.0,22238223000.0,26632687000.0,31663743000.0,98954327000.0,22798208000.0,27066681000.0,6915579000.0,15882629000.0,12797396000.0,ALTEO,2023,23942040000.0,58167250000.0,26514057000.0,0.2603024367439879,0.07116423663146498,0.27412262981815655,3.296644865166026,0.24786647653233723,0.23039121876903876,-0.10203913565001343,7.998702687948617,HU,yahoo,10.6
98063528000.0,37858398000.0,10201898000.0,30714018000.0,39463998000.0,1448762000.0,20540020000.0,25192842000.0,33280351000.0,105388839000.0,16913361000.0,22455550000.0,3941794000.0,12971567000.0,9624055000.0,ALTEO,2024,21988782000.0,58599530000.0,23942040000.0,0.22422997059620373,0.0658864142634185,0.17164047270915378,4.2907774987734015,0.17247351125282787,0.1604853147684832,-0.08510349531242767,6.700437190068602,HU,yahoo,10.6
149556182000.0,44783204000.0,16633291000.0,47299289000.0,39235381000.0,10437627000.0,52063053000.0,69279345000.0,35836095000.0,123463197000.0,10397316000.0,19038572000.0,5077926000.0,5319390000.0,2526084000.0,ALTEO,2025,62500680000.0,110320801000.0,21988782000.0,0.41790769972985803,0.16700021503766038,0.12020258810501125,2.0475516972874357,0.06952113821680737,0.08421388926126706,1.0446450224636123,4.7613982581104946,HU,yahoo,10.6
