total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
,,,,,,,,,,,,,,,AAA,2021,,,,,,,,,,,,VN,yahoo
10795832681712.0,5658759199548.0,1642978052440.0,3206482597038.0,5519887308975.0,1887821444978.0,1242368724012.0,3130190168990.0,721688030767.0,15290297073087.0,359745884378.0,670746454578.0,173679772675.0,186066111703.0,152599331716.0,AAA,2022,3130190168990.0,5275945372737.0,,0.28994430177604563,0.4887020323753612,0.6031011993073674,0.0554853741461466,2.071317107555052,0.033322662084917715,1.7647871236772965,6.28050965942711,VN,yahoo
11583445505916.0,5681580248153.0,2435058282483.0,3737041187457.0,5344165531187.0,2625493361179.0,358856724282.0,2984350085461.0,562622505805.0,12621514144947.0,568371600794.0,899342372496.0,190476045845.0,377895554949.0,289410548684.0,AAA,2023,2984350085461.0,6239279974729.0,3130190168990.0,0.2576392390275248,0.5386376593684858,0.8797538110457418,0.062302654956387093,2.9839531699251713,0.04906757669846301,1.5203418863090534,5.738680772196531,VN,yahoo
13768215584455.0,6426369244563.0,2419517905105.0,4132594319010.0,5333818642383.0,2542897634861.0,1325809541397.0,3894476057853.0,539311728597.0,12782230561048.0,575091411112.0,975534527334.0,159525373952.0,415566037160.0,368580504091.0,AAA,2024,3868707176258.0,8434396942072.0,2984350085461.0,0.2809882771320027,0.6125991338772218,0.6572990715003179,0.04655597286282857,3.6050152829294775,0.04176949493450021,1.5550447850643356,5.4152873802027806,VN,yahoo
12891604733753.0,4532817492410.0,1617746098453.0,3279775954320.0,5468424843367.0,1892479618071.0,1124872338179.0,3031053312988.0,551744950554.0,10728147400851.0,671054221869.0,1175742991995.0,133833486614.0,537220735255.0,372912597362.0,AAA,2025,3017351956250.0,7423179890386.0,3868707176258.0,0.2340555748152844,0.5758150396087242,0.6271988304682214,0.038870850231939834,5.014098032164714,0.052053583376787484,1.382050955779324,5.150446896920581,VN,yahoo
,,,,,,,,,,,,,,,ACG,2021,,,,,,,,,,,,VN,yahoo
5467207015864.0,3839450781144.0,387855741942.0,1542319419092.0,3912217369890.0,813722672711.0,,813722672711.0,1135105404068.0,4475478438823.0,783816051931.0,894316985043.0,31879418791.0,751936633140.0,615581289335.0,ACG,2022,813722672711.0,1554989645974.0,,0.14883699672425973,0.28442121204884724,1.0,0.03917725271779692,24.586899060790973,0.1433668141075743,2.4894005311846334,10.2882614729957,VN,yahoo
5522084035551.0,4131503386110.0,66882261518.0,1430554990864.0,4076508222777.0,706566540805.0,,706566540805.0,1114384840934.0,3762129251748.0,567315474349.0,671445965976.0,38839429154.0,528476045195.0,411185657186.0,ACG,2023,706566540805.0,1445575812774.0,813722672711.0,0.1279528772572361,0.26178084278823527,1.0,0.05109479013427368,14.606689302759056,0.10273575532292539,2.888042341954804,10.76786900666746,VN,yahoo
5639637217365.0,4119782891159.0,155329618175.0,1450796352855.0,4176030790173.0,728008953225.0,,728008953225.0,1249409971617.0,3980864021638.0,551275901943.0,652336686328.0,27561125015.0,523714776928.0,419971985880.0,ACG,2024,728008953225.0,1463606427192.0,706566540805.0,0.12908790497789263,0.2595213789080991,1.0,0.03842408451795795,20.001937571233793,0.0977502418498777,2.839670008166027,10.72956705034245,VN,yahoo
6971999972968.0,5150094439590.0,387706924742.0,2489191555790.0,4335178632244.0,1207626546255.0,51900000000.0,1265040275429.0,1387559214388.0,4608703276728.0,684453605929.0,776767252541.0,35524102151.0,648929503778.0,503989024378.0,ACG,2025,1259526546255.0,2636821340724.0,728008953225.0,0.1806549843858958,0.37820157070389343,0.9587940403842092,0.035746885688627134,19.267302042417214,0.09817177403654323,2.0689827697714103,8.788473762834528,VN,yahoo
,,,,,,,,,,,,,,,AGG,2021,,,,,,,,,,,,VN,yahoo
11098528307189.0,8700817389038.0,722795598674.0,6015500152502.0,2355349798949.0,940240023732.0,593930579470.0,1534170603202.0,925126930749.0,6188634735154.0,640848076515.0,646746512798.0,421932301830.0,218915774685.0,18965726119.0,AGG,2022,1534170603202.0,8743178508240.0,,0.13823189532329713,0.7877781870031059,0.612865363063016,0.2750230651984702,1.5188409935326614,0.05774171662921243,1.4463996622822972,5.7798355397290235,VN,yahoo
9293398076764.0,8302397978032.0,772407784627.0,5284699369902.0,2798585897041.0,769264156753.0,691055000000.0,1460319156753.0,1368363028841.0,3891046850177.0,854398488702.0,859721951559.0,272355077379.0,582043411323.0,175358105258.0,AGG,2023,1460319156753.0,6494812179723.0,1534170603202.0,0.15713511297920096,0.6988630128695101,0.5267781040847594,0.1819041634546066,3.1370756768123265,0.09193606920145027,1.5710255961420867,6.930379590003794,VN,yahoo
7035483967227.0,5819046786567.0,167279797712.0,3210829019083.0,3096086444960.0,1046029080929.0,371116500000.0,1417145580929.0,1291766446760.0,1913398478509.0,497294948747.0,507129456657.0,195675419277.0,301619529470.0,297500547919.0,AGG,2024,1417145580929.0,3939397522267.0,1460319156753.0,0.20142830081489912,0.559932698392559,0.7381239408327286,0.13600543333478365,2.5414277919242605,0.07068382943711067,1.8123191088602084,7.580725392815939,VN,yahoo
5476945005978.0,1610367769615.0,90780442281.0,1591376546864.0,3514900646749.0,810679212113.0,192741700000.0,1003420912113.0,1710580648549.0,829088530750.0,499135774187.0,507601617148.0,138763237138.0,360372537049.0,379195499373.0,AGG,2025,1003420912113.0,1962044359229.0,1417145580929.0,0.18320814085549184,0.35823700203077796,0.8079154045194002,0.11465352225347215,3.5970317822047466,0.09113397590120059,1.0119338335030916,6.784363335637097,VN,yahoo
5467653137750.0,3255100959692.0,30253714794.0,2417509035225.0,2882202985499.0,1719359730972.0,26866666676.0,1922041208165.0,1612905156247.0,4896647040438.0,878863331158.0,1000113406268.0,105147390933.0,773715940225.0,673745234347.0,ANV,2022,1746226397648.0,2585450152251.0,,0.3193740264157634,0.47286286951899464,0.984614442484556,0.06021406564155912,8.358394091946726,0.1607386769087664,1.3464689944329595,7.467278477366277,VN,yahoo
5112670123139.0,2950604371240.0,39671072278.0,2135254725248.0,2815725590122.0,1691073986022.0,16816666680.0,1928573317460.0,1486427760870.0,4439122632880.0,201790058561.0,316324661575.0,137293023317.0,64497035244.0,36024357336.0,ANV,2023,1707890652702.0,2296944533017.0,1746226397648.0,0.3340506255180444,0.4492651545464382,0.9901535460403189,0.07949529290160466,1.469776494724578,0.03946862475005682,1.3818512313079185,6.796336776534564,VN,yahoo
4862270517905.0,2585543414472.0,219090199195.0,1943670022007.0,2793646592833.0,1502267344799.0,6816666684.0,1735030326263.0,133070013581.0,4911265972913.0,169860127715.0,287054110298.0,91346541557.0,78513586158.0,47832173647.0,ANV,2024,1509084011483.0,2068623925072.0,1707890652702.0,0.3103661151566731,0.4254440219758289,0.9954829110691451,0.05679033942913695,1.8595135055989802,0.03493432277975916,1.33023784140181,5.857980114822067,VN,yahoo
5824715466874.0,3476485727551.0,45722178140.0,2230874234646.0,3526868707406.0,1548827710943.0,150000000.0,1653463970958.0,866292128154.0,6951508258365.0,1220389064331.0,1355491226134.0,68099345481.0,1152289718850.0,999477864573.0,ANV,2025,1548977710943.0,2297846759468.0,1509084011483.0,0.2659319102799545,0.3944994004490326,0.9999031619377475,0.04453758731002715,17.92071650191548,0.2095190866011446,1.558351283797339,8.157270697756006,VN,yahoo
,,,,,,,,,,,,,,,APH,2021,,,,,,,,,,,,VN,yahoo
