total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
12903659000.0,2239087000.0,461924000.0,2473336000.0,5175869000.0,259461000.0,2161366000.0,2831024000.0,3011147000.0,4509547000.0,948181000.0,1335611000.0,153223000.0,794958000.0,537629000.0,ENELCHILE,2025
12765086000.0,2242156000.0,384761000.0,2251458000.0,4976415000.0,61447000.0,2377162000.0,2734261000.0,3781518000.0,4137511000.0,307598000.0,620681000.0,68155000.0,239443000.0,153763000.0,ENELCHILE,2024
13491564000.0,2703131000.0,642206000.0,3185331000.0,5068953000.0,618183000.0,2163402000.0,3087202000.0,3855606000.0,5075058000.0,1138388000.0,1440087000.0,58598000.0,1079790000.0,754195000.0,ENELCHILE,2023
13882728200.367085,3585163491.001986,1024000021.4812,3707135476.61576,4793725017.428905,65494245.553936,2501941395.027963,2843187738.222236,2895086377.940464,5123430073.534734,2142364611.637339,2421143962.578907,61308241.809889,2081056369.827451,1464936232.777395,ENELCHILE,2022
,,,,,,,,,,,,,,,ENELCHILE,2021
34871081000.0,6695824000.0,1904403000.0,7737034000.0,16023472000.0,2208230000.0,4574752000.0,7145754000.0,8891982000.0,12818885000.0,2674997000.0,3804292000.0,772893000.0,1902104000.0,960070000.0,ENELAM,2025
31484337000.0,7419351000.0,3076085000.0,7114976000.0,14130193000.0,939324000.0,4182308000.0,5336488000.0,8084630000.0,12615912000.0,2234574000.0,3365173000.0,922185000.0,1312389000.0,2589133000.0,ENELAM,2024
36854680000.0,10319459000.0,1500184000.0,9727420000.0,14504637000.0,1501681000.0,4963859000.0,6661545000.0,6200229000.0,11768430000.0,2228541000.0,3177702000.0,778079000.0,1450462000.0,864269000.0,ENELAM,2023
34773647000.0,7763830000.0,1121693000.0,7926972000.0,12957150000.0,1191605000.0,5132513000.0,6535709000.0,5715317000.0,12040111000.0,1107615000.0,2090348000.0,452354000.0,655261000.0,-44145000.0,ENELAM,2022
,,,,,,,,,,,,,,,ENELAM,2021
26812998391000.0,13002436528000.0,2315597735000.0,6970250937000.0,7972297221000.0,541080281000.0,470859525000.0,2483611729000.0,6860714535000.0,13304390450000.0,2937538490000.0,3393105307000.0,316073669000.0,2621464821000.0,1347476767000.0,FALABELLA,2025
25261840065000.0,12120097914000.0,2271292861000.0,7081749634000.0,6828367191000.0,495905046000.0,646006844000.0,2562643800000.0,5801292073000.0,12137856333000.0,1213301173000.0,1675878793000.0,320056863000.0,893244310000.0,480943269000.0,FALABELLA,2024
23839384483000.0,11626869711000.0,1775555345000.0,6562815278000.0,6301182584000.0,234443753000.0,1539646965000.0,3006238667000.0,5451407553000.0,11223341592000.0,542975693000.0,997575095000.0,344011838000.0,198963855000.0,60640788000.0,FALABELLA,2023
23372811162000.0,12074700110000.0,1266041801000.0,6755164126000.0,5958152272000.0,582667211000.0,1457425010000.0,3244457824000.0,5349387522000.0,12268466344000.0,562453774000.0,1001113454000.0,308191116000.0,254262658000.0,169419696000.0,FALABELLA,2022
,,,,,,,,,,,,,,,FALABELLA,2021
4568526000.0,1592111000.0,269930000.0,1133121000.0,2773780000.0,59925000.0,448301000.0,512495000.0,2138646000.0,3073358000.0,801468000.0,885952000.0,47292000.0,754176000.0,542012000.0,ENELGXCH,2025
4824638000.0,1811615000.0,267208000.0,1186432000.0,2734813000.0,54155000.0,473790000.0,529048000.0,2091504000.0,3191825000.0,679704000.0,747152000.0,-3445000.0,683149000.0,520251000.0,ENELGXCH,2024
5236745561.571864,1902562084.036405,240405173.931013,1545977909.064945,2648489435.771224,457362898.653407,528321985.590805,986898926.867247,2137784337.804461,3493046746.122617,781300692.153252,847139364.877848,11142541.307856,770158150.845395,571498022.358745,ENELGXCH,2023
5156546371.089412,1989143471.78731,17701548.82025,1266644784.936802,2423520279.364174,61013397.131717,972635803.829658,1042001076.259593,1799653110.212151,3803068950.930973,880605496.290246,964283391.501443,1912088.868145,878693407.422101,699151073.745263,ENELGXCH,2022
,,,,,,,,,,,,,,,ENELGXCH,2021
14863909320000.0,3464999068000.0,637155833000.0,3773170490000.0,4623884879000.0,252705415000.0,4167401450000.0,5488501451000.0,2564509820000.0,16594515400000.0,817624265000.0,817624265000.0,149055101000.0,668569164000.0,314917071000.0,CENCOSUD,2025
15322076179000.0,3898450092000.0,742644469000.0,4248606702000.0,4679049300000.0,225821237000.0,4009255369000.0,5462552586000.0,2318983574000.0,16493815028000.0,643305361000.0,643305361000.0,161833537000.0,481471824000.0,158934578000.0,CENCOSUD,2024
13573122529000.0,2976277224000.0,483125584000.0,3798928406000.0,3670611817000.0,433098240000.0,3704831700000.0,5417340198000.0,2078932098000.0,14230641548000.0,693043163000.0,693043163000.0,179658292000.0,513384871000.0,220279761000.0,CENCOSUD,2023
13340199791000.0,3108157445000.0,373700303000.0,3753381559000.0,3670812256000.0,323455733000.0,3617020870000.0,5100523304000.0,2154835639000.0,14202097551000.0,739160243000.0,739160243000.0,97226822000.0,641933421000.0,338929324000.0,CENCOSUD,2022
17640891000.0,4383212000.0,2150113000.0,7294394000.0,1345594000.0,174443000.0,3432169000.0,8088526000.0,2170280000.0,14265056000.0,2238688000.0,2238688000.0,620070000.0,1618618000.0,1459984000.0,LTM,2025
15253365000.0,3900419000.0,1957788000.0,6290842000.0,723267000.0,104021000.0,2884076000.0,7150451000.0,1148291000.0,12833043000.0,1814788000.0,1814788000.0,820854000.0,993934000.0,976972000.0,LTM,2024
14667315000.0,4203362000.0,1714761000.0,5688135000.0,450302000.0,183678000.0,2882970000.0,6936188000.0,464411000.0,11640541000.0,1279379000.0,1279379000.0,682887000.0,596492000.0,581831000.0,LTM,2023
13211024000.0,3536424000.0,1216675000.0,5088695000.0,42278000.0,472821000.0,3004366000.0,6865631000.0,-7501896000.0,9362521000.0,2257877000.0,2257877000.0,911826000.0,1346051000.0,1339210000.0,LTM,2022
,,,,,,,,,,,,,,,LTM,2021
