total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
149556182000.0,44783204000.0,16633291000.0,47299289000.0,39235381000.0,10437627000.0,52063053000.0,69279345000.0,35836095000.0,123463197000.0,10397316000.0,19038572000.0,5077926000.0,5319390000.0,2526084000.0,ALTEO,2025
98063528000.0,37858398000.0,10201898000.0,30714018000.0,39463998000.0,1448762000.0,20540020000.0,25192842000.0,33280351000.0,105388839000.0,16913361000.0,22455550000.0,3941794000.0,12971567000.0,9624055000.0,ALTEO,2024
91977779000.0,48404853000.0,24345080000.0,29470276000.0,33810529000.0,1703817000.0,22238223000.0,26632687000.0,31663743000.0,98954327000.0,22798208000.0,27066681000.0,6915579000.0,15882629000.0,12797396000.0,ALTEO,2023
100020394000.0,65078937000.0,16465328000.0,46615900000.0,26602913000.0,7185732000.0,19328325000.0,28754254000.0,19170998000.0,103027053000.0,19159465000.0,22686627000.0,3402730000.0,15756735000.0,12887893000.0,ALTEO,2022
,,,,,,,,,,,,,,,ALTEO,2021
48501745000.0,31415162000.0,8592677000.0,23488997000.0,17253019000.0,8102012000.0,2711088000.0,12473008000.0,15880114000.0,71856950000.0,12012282000.0,14543345000.0,653563000.0,11358719000.0,8520752000.0,ANY,2025
51235384000.0,35254317000.0,7601559000.0,29743816000.0,15712245000.0,10318180000.0,2291205000.0,12982145000.0,14021806000.0,70502996000.0,11052202000.0,13468292000.0,636511000.0,10415691000.0,7917791000.0,ANY,2024
41478369000.0,27320536000.0,6056275000.0,23463821000.0,11315660000.0,8474190000.0,4049259000.0,12762554000.0,9845826000.0,55475269000.0,6560832000.0,8933350000.0,698442000.0,5862390000.0,4267289000.0,ANY,2023
34127700000.0,19630794000.0,6393330000.0,18206653000.0,9365557000.0,2540520000.0,4357787000.0,7298510000.0,7888003000.0,43179930000.0,3632052000.0,5679221000.0,246169000.0,3385883000.0,2244042000.0,ANY,2022
,,,,,,,,,,,,,,,ANY,2021
1018086746000.0,296942367000.0,167781980000.0,238317008000.0,227398576000.0,17397333000.0,205369797000.0,236492138000.0,98329926000.0,443433461000.0,80111211000.0,129985677000.0,10616807000.0,69494404000.0,21766712000.0,OPUS,2025
1062248246000.0,365715291000.0,160182009000.0,287302768000.0,225467987000.0,13943405000.0,224120162000.0,245947741000.0,92759628000.0,586076248000.0,71882642000.0,120078377000.0,12471687000.0,59410955000.0,32371462000.0,OPUS,2024
1072649076000.0,439456373000.0,247679196000.0,300779152000.0,218292525000.0,12005394000.0,235672501000.0,255353117000.0,39079517000.0,643788064000.0,68648663000.0,114121117000.0,16255631000.0,52393032000.0,25856276000.0,OPUS,2023
