total_assets,current_assets,cash,current_liabilities,equity,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,st_debt,lt_debt
646565000.0,637993000.0,85440000.0,26746000.0,615690000.0,4005000.0,160907000.0,168354000.0,114949000.0,117266000.0,285000.0,114664000.0,103664000.0,NXSN,2025,,
159156000.0,154265000.0,74708000.0,20866000.0,137692000.0,496000.0,90451000.0,114934000.0,76944000.0,78086000.0,40000.0,76904000.0,66396000.0,NXSN,2024,,
96490000.0,93030000.0,68631000.0,15917000.0,79934000.0,671000.0,37857000.0,51944000.0,31909000.0,32921000.0,29000.0,31880000.0,27572000.0,NXSN,2023,,
64265000.0,61941000.0,45276000.0,7291000.0,56679000.0,257000.0,15886000.0,26049000.0,13553000.0,14126000.0,16000.0,13537000.0,11149000.0,NXSN,2022,,
,,,,,,,,,,,,,NXSN,2021,,
,7735135000.0,635141000.0,5976438000.0,4129598000.0,964810000.0,3151172000.0,7938627000.0,633489000.0,804923000.0,71574000.0,561915000.0,534339000.0,ESLT,2025,133984000.0,255625000.0
,6355181000.0,265351000.0,5311168000.0,3277540000.0,1370310000.0,2741070000.0,6827871000.0,474412000.0,632803000.0,132666000.0,341746000.0,321138000.0,ESLT,2024,525417000.0,305924000.0
,5508080000.0,197429000.0,4823846000.0,2947503000.0,1466444000.0,2508914000.0,5974744000.0,323817000.0,488616000.0,97323000.0,226494000.0,215131000.0,ESLT,2023,651880000.0,384074000.0
,5031777000.0,211108000.0,4277289000.0,2755221000.0,1285616000.0,2382564000.0,5511549000.0,333708000.0,494998000.0,41150000.0,292558000.0,275448000.0,ESLT,2022,191631000.0,680078000.0
,,,,,,,,,,,,,ESLT,2021,,
15938000000.0,4582000000.0,643000000.0,4034000000.0,2953000000.0,9765000000.0,-1742000000.0,8702000000.0,2045000000.0,3732000000.0,354000000.0,1691000000.0,1417000000.0,BEZQ,2025,992000000.0,6818000000.0
15161000000.0,4513000000.0,784000000.0,4014000000.0,2502000000.0,9614000000.0,-2180000000.0,8884000000.0,1740000000.0,3584000000.0,346000000.0,1394000000.0,1072000000.0,BEZQ,2024,1123000000.0,6523000000.0
13878000000.0,3489000000.0,563000000.0,3680000000.0,2196000000.0,9004000000.0,-2466000000.0,9103000000.0,1834000000.0,3701000000.0,299000000.0,1535000000.0,1189000000.0,BEZQ,2023,1074000000.0,5889000000.0
13412000000.0,3464000000.0,741000000.0,3534000000.0,1623000000.0,9181000000.0,-3035000000.0,8986000000.0,1590000000.0,3458000000.0,254000000.0,1336000000.0,1000000000.0,BEZQ,2022,921000000.0,6352000000.0
,,,,,,,,,,,,,BEZQ,2021,,
8629902000.0,1095849000.0,528497000.0,1629205000.0,1688141000.0,5121070000.0,240023000.0,582264000.0,330275000.0,480197000.0,125698000.0,204577000.0,132104000.0,ENLT,2025,1057691000.0,3819848000.0
5546885000.0,707945000.0,387427000.0,592040000.0,1180526000.0,3118174000.0,107919000.0,398795000.0,182429000.0,291318000.0,97649000.0,84780000.0,44209000.0,ENLT,2024,257208000.0,2638785000.0
4633921000.0,664645000.0,403805000.0,583292000.0,1168759000.0,2699558000.0,63710000.0,261142000.0,187316000.0,253112000.0,60847000.0,126469000.0,70924000.0,ENLT,2023,350899000.0,2219992000.0
3533367000.0,423704000.0,193869000.0,385349000.0,804094000.0,2160952000.0,-7214000.0,192172000.0,106831000.0,149098000.0,55775000.0,51056000.0,24749000.0,ENLT,2022,181459000.0,1879870000.0
,,,,,,,,,,,,,ENLT,2021,,
4715933227.395019,1118960336.065703,916628644.251798,361239163.611762,2035903648.578486,1785113044.572759,179360908.761938,944634119.479539,256769300.964458,335121697.949936,85589766.988153,171179533.976305,108875218.301106,OPCE,2025,118000597.869696,1657987067.134473
3303466079.724488,368207663.64709,263357451.619703,176301661.999053,1300909158.104812,1277365768.458976,61322317.217062,760779997.974173,185883274.064219,277045468.855654,94173558.583345,91709715.480874,30387398.263812,OPCE,2024,84318186.17346,1180728366.773159
3323762610.963306,440428838.606011,265258277.796802,337960645.892053,1013618523.299002,1520164370.571346,29765824.618708,672233490.503912,138819376.761584,218633933.040065,76390169.375445,62429207.386139,37931670.310566,OPCE,2023,161999841.951374,1299686536.891184
2704880817.253121,419125993.189557,240919409.761635,184165720.77185,995175936.435868,1198354143.019296,-8796821.793417,546821793.416572,138195232.690125,195232690.124858,58172531.214529,80022701.475596,47389330.30647,OPCE,2022,39160045.402951,1122304199.772985
,,,,,,,,,,,,,OPCE,2021,,
40748000000.0,13946000000.0,3556000000.0,13456000000.0,7910000000.0,17094000000.0,-13762000000.0,17257000000.0,2139000000.0,3141000000.0,916000000.0,1223000000.0,1410000000.0,TEVA,2025,1820000000.0,14986000000.0
39326000000.0,12552000000.0,3300000000.0,12796000000.0,5373000000.0,18079000000.0,-15173000000.0,16544000000.0,-282000000.0,777000000.0,1002000000.0,-1284000000.0,-1639000000.0,TEVA,2024,1781000000.0,16002000000.0
43479000000.0,12485000000.0,3226000000.0,12247000000.0,7506000000.0,20153000000.0,-13534000000.0,15845000000.0,405000000.0,1558000000.0,1029000000.0,-624000000.0,-559000000.0,TEVA,2023,1672000000.0,18161000000.0
44011000000.0,12051000000.0,2801000000.0,11469000000.0,7804000000.0,21561000000.0,-12975000000.0,14925000000.0,-2233000000.0,-925000000.0,930000000.0,-3163000000.0,-2446000000.0,TEVA,2022,2109000000.0,19103000000.0
,,,,,,,,,,,,,TEVA,2021,,
3965800000.0,468200000.0,107700000.0,201800000.0,1891400000.0,1394800000.0,1763300000.0,1012700000.0,563000000.0,737900000.0,83500000.0,479500000.0,343000000.0,NWMD,2025,0.0,1392300000.0
3992300000.0,734100000.0,51200000.0,603000000.0,1787300000.0,1627900000.0,1660600000.0,1136300000.0,789600000.0,874800000.0,108400000.0,681200000.0,524600000.0,NWMD,2024,485600000.0,1140000000.0
3846200000.0,568300000.0,29100000.0,211000000.0,1512500000.0,1817700000.0,1386300000.0,1094400000.0,698400000.0,782700000.0,124100000.0,574300000.0,433600000.0,NWMD,2023,80000000.0,1735100000.0
3939000000.0,771300000.0,22400000.0,581600000.0,1287400000.0,2158700000.0,1162500000.0,1143900000.0,734500000.0,872100000.0,139900000.0,594600000.0,469700000.0,NWMD,2022,424800000.0,1731000000.0
,,,,,,,,,,,,,NWMD,2021,,
12413000000.0,4164000000.0,291000000.0,3131000000.0,5983000000.0,2756000000.0,5769000000.0,7153000000.0,589000000.0,1204000000.0,148000000.0,441000000.0,226000000.0,ICL,2025,797000000.0,1704000000.0
11321000000.0,3586000000.0,327000000.0,2328000000.0,5724000000.0,2293000000.0,5764000000.0,6841000000.0,782000000.0,1378000000.0,146000000.0,636000000.0,407000000.0,ICL,2024,306000000.0,1723000000.0
11627000000.0,4034000000.0,420000000.0,2638000000.0,5768000000.0,2687000000.0,5583000000.0,7536000000.0,1134000000.0,1670000000.0,160000000.0,974000000.0,647000000.0,ICL,2023,786000000.0,1625000000.0
11750000000.0,4548000000.0,417000000.0,2606000000.0,5464000000.0,2824000000.0,5385000000.0,10015000000.0,3542000000.0,4040000000.0,138000000.0,3404000000.0,2159000000.0,ICL,2022,444000000.0,2110000000.0
,,,,,,,,,,,,,ICL,2021,,
5106030000.0,1379132000.0,379388000.0,887627000.0,3876528000.0,88801000.0,3314498000.0,2945399000.0,704017000.0,903061000.0,0.0,704017000.0,612101000.0,NICE,2025,,
5295906000.0,2504773000.0,481712000.0,1474424000.0,3589742000.0,563603000.0,2702397000.0,2735272000.0,604982000.0,810002000.0,156000.0,604826000.0,442588000.0,NICE,2024,458791000.0,
5117634000.0,2312882000.0,511795000.0,1120321000.0,3341132000.0,782966000.0,2262898000.0,2377508000.0,461401000.0,628761000.0,3701000.0,457700000.0,338301000.0,NICE,2023,209229000.0,457081000.0
4854419000.0,2417133000.0,529596000.0,1141217000.0,3042085000.0,777461000.0,1926398000.0,2181294000.0,349046000.0,525592000.0,3714000.0,345332000.0,265945000.0,NICE,2022,209292000.0,455382000.0
,,,,,,,,,,,,,NICE,2021,395946000.0,429267000.0
8816000000.0,3097000000.0,535000000.0,2998000000.0,3272000000.0,2628000000.0,4232000000.0,7823000000.0,820000000.0,1173000000.0,167000000.0,653000000.0,404000000.0,STRS,2025,500000000.0,1605000000.0
8959000000.0,3582000000.0,1142000000.0,3335000000.0,3279000000.0,2812000000.0,4167000000.0,7089000000.0,1078000000.0,1428000000.0,162000000.0,916000000.0,624000000.0,STRS,2024,845000000.0,1463000000.0
8170000000.0,2539000000.0,517000000.0,2497000000.0,3037000000.0,2630000000.0,3784000000.0,6795000000.0,849000000.0,1181000000.0,128000000.0,721000000.0,488000000.0,STRS,2023,389000000.0,1687000000.0
7412000000.0,2478000000.0,517000000.0,2806000000.0,2483000000.0,2614000000.0,3269000000.0,6105000000.0,238000000.0,545000000.0,87000000.0,151000000.0,64000000.0,STRS,2022,789000000.0,1488000000.0
,,,,,,,,,,,,,STRS,2021,,
3003600000.0,822550000.0,591906000.0,522386000.0,966554000.0,1623550000.0,152071000.0,466590000.0,-1115000.0,90265000.0,-25240000.0,24125000.0,167806000.0,NVPT,2025,294947000.0,1324623000.0
1576449000.0,174331000.0,118829000.0,116128000.0,387863000.0,986859000.0,-15735000.0,98291000.0,-27324000.0,-14091000.0,-43249000.0,15925000.0,1418000.0,NVPT,2024,70746000.0,912891000.0
1127638000.0,115617000.0,86286000.0,80964000.0,311696000.0,674812000.0,-17153000.0,118495000.0,12198000.0,27737000.0,-19379000.0,31577000.0,14674000.0,NVPT,2023,57608000.0,615137000.0
