total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
53953669604000.0,30705420001000.0,7713355500000.0,29976396731000.0,9684906768000.0,6982167457000.0,5412718897000.0,12825374363000.0,5982735731000.0,26702901249000.0,2699545903000.0,3572287761000.0,489672629000.0,2209873274000.0,1404962303000.0,012450,2025
43561934043000.0,22981709617000.0,2967733423000.0,25516144576000.0,4995124600000.0,6117727029000.0,4164782797000.0,10693210548000.0,4746520391000.0,11240121484000.0,2889942531000.0,3220890295000.0,242539779000.0,2647402752000.0,2298945271000.0,012450,2024
19542899925700.0,9192041562880.0,1806358649280.0,12076597878810.0,3528357488010.0,2538079879000.0,1401027063000.0,4170017416510.0,2627417653580.0,7889686804710.0,1280383096810.0,1619480767810.0,149626854000.0,1130756242810.0,817509743060.0,012450,2023
15151828043290.0,8507711423510.0,3069829737550.0,8222937467470.0,2857351144900.0,1735250693000.0,1712424845000.0,3625829543910.0,2014578142350.0,7060393209980.0,280464055780.0,543199734780.0,85068745000.0,195395310780.0,195353587580.0,012450,2022
,,,,,,,,,,,,,,,012450,2021
176107659000000.0,69458073000000.0,14923766000000.0,37378999000000.0,120516178000000.0,8161757000000.0,14086148000000.0,24757848000000.0,106576548000000.0,97146675000000.0,51389255000000.0,65319385000000.0,923703000000.0,50465552000000.0,42919287000000.0,000660,2025
119855209000000.0,42278887000000.0,11205117000000.0,24965444000000.0,73903394000000.0,5252238000000.0,17431495000000.0,25452109000000.0,65418061000000.0,66192960000000.0,25230589000000.0,37812126000000.0,1345239000000.0,23885350000000.0,19788681000000.0,000660,2024
100330165000000.0,30468100000000.0,7587329000000.0,21007810000000.0,53504285000000.0,9857189000000.0,19611443000000.0,32498506000000.0,46729313000000.0,32765719000000.0,-10189543000000.0,3484133000000.0,1468273000000.0,-11657816000000.0,-9112428000000.0,000660,2023
103871512000000.0,28733332000000.0,4977007000000.0,19843696000000.0,63266355000000.0,7423247000000.0,15571357000000.0,24791685000000.0,56685260000000.0,44621568000000.0,4535894000000.0,18687364000000.0,533114000000.0,4002780000000.0,2229560000000.0,000660,2022
,,,,,,,,,,,,,,,000660,2021
86532745699420.0,21356404512530.0,3458217651040.0,13871980126880.0,49911892454120.0,1752507670180.0,1611322967000.0,3953729637180.0,15509909275640.0,40742240967140.0,4397865710620.0,5456174552830.0,137614762000.0,4260250948620.0,2439114193250.0,028260,2025
61990426835540.0,20180976210720.0,3622371844800.0,14747260718480.0,31068664773790.0,2098019374760.0,1741990160000.0,4583585534760.0,14014379035600.0,42103238027330.0,3946302243270.0,4879391394230.0,223835635000.0,3722466608270.0,2230258255120.0,028260,2024
66127029212670.0,18977560736020.0,3119516302890.0,14759071583170.0,34238109878470.0,2817490592560.0,1607539654000.0,5133189246560.0,12661663940640.0,41895681215730.0,3804456597310.0,4625373647480.0,254959948000.0,3549496649310.0,2218290399860.0,028260,2023
58981492466950.0,20312841472940.0,4200424490440.0,16413402987390.0,26680665182460.0,3557042808240.0,2057970678000.0,6317498486240.0,10846578870900.0,43161653399530.0,3522905629250.0,4149906310390.0,188359104000.0,3334546525250.0,2044080219090.0,028260,2022
,,,,,,,,,,,,,,,028260,2021
566942110000000.0,247684612000000.0,57856378000000.0,106411348000000.0,424313255000000.0,17584050000000.0,2813148000000.0,25239139000000.0,402135600000000.0,333605938000000.0,50087254000000.0,97013846000000.0,605783000000.0,49481471000000.0,44260956000000.0,005930,2025
514531948000000.0,227062266000000.0,53705579000000.0,93326299000000.0,391687603000000.0,14279268000000.0,21067000000.0,19330184000000.0,370513188000000.0,300870903000000.0,38433652000000.0,81064474000000.0,903918000000.0,37529734000000.0,33621363000000.0,005930,2024
455905980000000.0,195936557000000.0,69080893000000.0,75719452000000.0,353233775000000.0,7425037000000.0,537618000000.0,12685944000000.0,346652238000000.0,258935494000000.0,11936518000000.0,50603077000000.0,930253000000.0,11006265000000.0,14473401000000.0,005930,2023
448424507000000.0,218470581000000.0,49680710000000.0,78344852000000.0,345186142000000.0,5362458000000.0,569939000000.0,10333242000000.0,337946407000000.0,302231360000000.0,47203489000000.0,86311148000000.0,763015000000.0,46440474000000.0,54730018000000.0,005930,2022
14595895255460.0,7097622667420.0,2701205916230.0,3819497359660.0,9541761553950.0,2003354614630.0,188444338600.0,2277190879280.0,7064997439000.0,11314459238100.0,972249110800.0,1896928525800.0,76417738000.0,895831372800.0,706113165450.0,009150,2025
12792402920880.0,5891746488300.0,2013326031510.0,3056860858020.0,8789160638730.0,1557902194170.0,,1636007466060.0,6490395205000.0,10294102976430.0,869986362050.0,1710219625050.0,72690316000.0,797296046050.0,679130069620.0,009150,2024
11657871601840.0,5208418321140.0,1669189597130.0,2900459629420.0,7847712343990.0,1304991167520.0,216522309950.0,1596513099830.0,5873076380000.0,8892411942800.0,630923031740.0,1467592041740.0,67685475000.0,563237556740.0,422956706610.0,009150,2023
10997170898640.0,4888318770840.0,1677067099640.0,2525123479970.0,7538493973160.0,1084647555110.0,336606575600.0,1505236551300.0,5620512080000.0,9424551868020.0,1233134539730.0,2111933406730.0,46306452000.0,1186828087730.0,980551642120.0,009150,2022
,,,,,,619762226810.0,,,,,,,,,009150,2021
67147953000000.0,18412127000000.0,3779307000000.0,16785357000000.0,20215549000000.0,6611422000000.0,15513333000000.0,22512096000000.0,332209000000.0,23671759000000.0,1231278000000.0,4922528000000.0,817154000000.0,414124000000.0,-1072810000000.0,373220,2025
60306791000000.0,15327395000000.0,3898711000000.0,12054922000000.0,21116237000000.0,2413086000000.0,12641359000000.0,15390551000000.0,1397211000000.0,25619585000000.0,913117000000.0,3958901000000.0,564246000000.0,348871000000.0,-1018741000000.0,373220,2024
45437144000000.0,17208396000000.0,5068783000000.0,10937185000000.0,20200641000000.0,3157459000000.0,7628469000000.0,10932288000000.0,2364496000000.0,33745470000000.0,2359212000000.0,4646091000000.0,315752000000.0,2043460000000.0,1237180000000.0,373220,2023
38299445000000.0,18804269000000.0,5937967000000.0,11444923000000.0,18732215000000.0,2826757000000.0,5157273000000.0,8109253000000.0,1154518000000.0,25598609000000.0,1108998000000.0,2951711000000.0,113684000000.0,995314000000.0,767236000000.0,373220,2022
,,,,,,,,,,,,,,,373220,2021
368844849000000.0,120777363000000.0,18360566000000.0,88579290000000.0,115446507000000.0,44149376000000.0,131240462000000.0,176514918000000.0,101311761000000.0,186254472000000.0,14414119000000.0,19430603000000.0,572216000000.0,13841903000000.0,9445987000000.0,005380,2025
339798429000000.0,115764287000000.0,19014944000000.0,79509643000000.0,109103398000000.0,36069352000000.0,120420008000000.0,157751465000000.0,96595668000000.0,175231153000000.0,18232934000000.0,22519940000000.0,451498000000.0,17781436000000.0,12526691000000.0,005380,2024
282463355000000.0,58604033000000.0,19166619000000.0,73362103000000.0,92497311000000.0,34144706000000.0,90603253000000.0,125806361000000.0,88665805000000.0,162663579000000.0,18176194000000.0,23122689000000.0,557532000000.0,17618662000000.0,11961717000000.0,005380,2023
255742462000000.0,58351905000000.0,20864879000000.0,74236472000000.0,82349287000000.0,36940611000000.0,75245209000000.0,113296624000000.0,79953601000000.0,142151469000000.0,11704878000000.0,16752500000000.0,523407000000.0,11181471000000.0,7364364000000.0,005380,2022
,,,,,,,,,,,,,,,005380,2021
11060741976830.0,4408366515900.0,148851266520.0,2532917332500.0,7451110647980.0,319712705000.0,599011716000.0,927094458600.0,6870960680790.0,4556971695180.0,2147802533600.0,2781439449800.0,29171280920.0,2118631252680.0,1784352060590.0,207940,2025
17336296349510.0,5518117814570.0,391221617200.0,3853188425800.0,10904676062010.0,327000000000.0,1012756708000.0,1486239475350.0,5086608620190.0,3497145675780.0,1418992005250.0,2018093149560.0,34123175510.0,1384868829740.0,1083315885980.0,207940,2024
16046197209190.0,5521987756530.0,367937365040.0,4157860817410.0,9830492412340.0,1387905014000.0,239782550000.0,1909332577230.0,4003292734210.0,3694588767060.0,1201583333400.0,1691365328050.0,81596402200.0,1119986931200.0,857691298380.0,207940,2023
16582050258480.0,6457656567070.0,890819570650.0,4181541561220.0,8984474395150.0,1138800019000.0,965090332000.0,2514032938960.0,3145601435820.0,3001295197680.0,1073088919710.0,1381353240610.0,64064346000.0,1009024573710.0,798056210080.0,207940,2022
,,,,,,,,,,,,,,,207940,2021
68620167000000.0,34869881000000.0,8769841000000.0,27183160000000.0,23887393000000.0,2464190000000.0,10180049000000.0,13960335000000.0,17419333000000.0,89200882000000.0,2436515000000.0,6038551000000.0,600090000000.0,1836425000000.0,960579000000.0,066570,2025
65629589000000.0,33923517000000.0,7573036000000.0,27307439000000.0,20994769000000.0,2889260000000.0,11093282000000.0,15242402000000.0,16352773000000.0,87728182000000.0,1907135000000.0,5440999000000.0,571340000000.0,1335795000000.0,367515000000.0,066570,2024
60240793000000.0,30341209000000.0,8487563000000.0,24160380000000.0,19664754000000.0,2601636000000.0,10719175000000.0,14513834000000.0,16201439000000.0,82262664000000.0,2550151000000.0,5767150000000.0,535254000000.0,2014897000000.0,712902000000.0,066570,2023
55156141000000.0,27488228000000.0,6322360000000.0,22332549000000.0,18992108000000.0,2287518000000.0,8757669000000.0,12141422000000.0,15834021000000.0,83467318000000.0,2903398000000.0,5888518000000.0,363587000000.0,2539811000000.0,1196442000000.0,066570,2022
,,,,,,,,,,,,,,,066570,2021
98979055000000.0,44425929000000.0,13998106000000.0,28378332000000.0,61187884000000.0,1364959000000.0,978970000000.0,2728968000000.0,54519590000000.0,114140919000000.0,10316546000000.0,13030470000000.0,75155000000.0,10241391000000.0,7560983000000.0,000270,2025
92755874000000.0,41797457000000.0,13566568000000.0,26977376000000.0,55831165000000.0,1058671000000.0,2175573000000.0,3596491000000.0,50241096000000.0,107448752000000.0,13601690000000.0,16150959000000.0,101489000000.0,13500201000000.0,9772957000000.0,000270,2024
80627826000000.0,37466302000000.0,14353142000000.0,25674105000000.0,46552384000000.0,1097578000000.0,2702261000000.0,4127631000000.0,43270759000000.0,99808420000000.0,12859292000000.0,15212727000000.0,181948000000.0,12677344000000.0,8776970000000.0,000270,2023
73710965000000.0,34147147000000.0,11553972000000.0,25377803000000.0,39337938000000.0,3428143000000.0,4044381000000.0,7745390000000.0,36320754000000.0,86559029000000.0,7734976000000.0,10157575000000.0,232983000000.0,7501993000000.0,5409429000000.0,000270,2022
,,,,,,,,,,,,,,,000270,2021
42255338580910.0,8739928568760.0,1803994237940.0,9794852795190.0,21442873795140.0,5390568184000.0,5493341323030.0,11071594902030.0,12088785935940.0,13266730679490.0,-1050627332430.0,1052362550570.0,313388197000.0,-1364015529430.0,-649468657550.0,006400,2025
40597344536350.0,10334312926480.0,1885068694000.0,10855694147360.0,19766394890480.0,6514149733000.0,5063743785690.0,11739619424690.0,12779917889800.0,16592248884380.0,862967378560.0,2737831684560.0,335645457000.0,527321921560.0,599289842800.0,006400,2024
34038860192960.0,9187029193260.0,1524461361450.0,8518933137070.0,18511373378170.0,2868274952000.0,2849524920000.0,5798852571000.0,12335665245890.0,21436788407450.0,2655346862760.0,4383318638760.0,273538572000.0,2381808290760.0,2009207126300.0,006400,2023
30257525171120.0,9651702375320.0,2614271849890.0,8006938827480.0,16485723513570.0,2851183214000.0,2297040000000.0,5220328307000.0,10468351380970.0,20124069515850.0,2742334370730.0,4205667625730.0,90058982000.0,2652275388730.0,1952148535520.0,006400,2022
,,,,,,,,,,,,,,,006400,2021
22334900189800.0,6205267557980.0,1119206211710.0,4453815745870.0,17208474471870.0,3302896954000.0,387200000000.0,3728669195000.0,4407125786900.0,4162495108880.0,1229187710080.0,1516716096080.0,75467268000.0,1153720442080.0,1029613370420.0,068270,2025
21055222437700.0,5584129149600.0,996430679070.0,3187120605910.0,17439141579250.0,2075317304000.0,86595233000.0,2192675638000.0,3744280141360.0,3557303554370.0,651689094410.0,1069938978410.0,75572283000.0,576116811410.0,422691724150.0,068270,2024
19956813831270.0,5094010887670.0,564611719560.0,2512385333430.0,16980683406960.0,1775133666000.0,99133316000.0,1890420204000.0,3963573529270.0,2176431531380.0,680761070990.0,926588402990.0,9665286000.0,671095784990.0,535647963950.0,068270,2023
5891652311250.0,2929792463750.0,551186669810.0,1294097736480.0,4139360000760.0,635135845000.0,151579926000.0,792331924000.0,3485109538430.0,2283967480390.0,633680911620.0,860070934620.0,7507535000.0,626173376620.0,537835568480.0,068270,2022
,,,,,,,,,,,,,,,068270,2021
70400532000000.0,30366398000000.0,4922378000000.0,13057963000000.0,49167565000000.0,1127064000000.0,1818510000000.0,3668083000000.0,45224557000000.0,61118127000000.0,5291697000000.0,6459561000000.0,176539000000.0,5115158000000.0,3655790000000.0,012330,2025
