total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
294482969000.0,66331468000.0,28572688000.0,61839516000.0,129935932000.0,23135153000.0,39206328000.0,64333499000.0,99540146000.0,250258459000.0,39496855000.0,49704843000.0,4352170000.0,35144685000.0,19580455000.0,AC,2025
292636188000.0,67662698000.0,29544599000.0,45467298000.0,137795185000.0,3364716000.0,45149241000.0,50079780000.0,94565240000.0,239572727000.0,38818285000.0,48169418000.0,3831137000.0,34987148000.0,19562768000.0,AC,2024
238939467000.0,54472836000.0,22127959000.0,47049935000.0,105493929000.0,11863818000.0,33373712000.0,46201371000.0,85683352000.0,215772223000.0,34713880000.0,42945315000.0,3709871000.0,31004009000.0,17504232000.0,AC,2023
256551953000.0,58338001000.0,27761308000.0,42602400000.0,117624559000.0,6195397000.0,40721809000.0,48178813000.0,77959326000.0,209961246000.0,30625460000.0,39567993000.0,3131787000.0,27493673000.0,15502991000.0,AC,2022
,,,,,,,,,,,,,,,AC,2021
495273263000.0,164109447000.0,28591153000.0,169716712000.0,235580061000.0,0.0,0.0,80848147000.0,180017034000.0,1010803706000.0,77991803000.0,102944934000.0,9115155000.0,68876648000.0,49890741000.0,WALMEX,2025
493893065000.0,173397268000.0,36513582000.0,170793744000.0,232875469000.0,0.0,0.0,79729904000.0,167447963000.0,957524496000.0,77524971000.0,100164445000.0,8593484000.0,68931487000.0,53827384000.0,WALMEX,2024
436546616000.0,159742312000.0,40668985000.0,156218513000.0,199086037000.0,,,75253796000.0,151020031000.0,885739821000.0,76443256000.0,97020695000.0,7836519000.0,68606737000.0,51589989000.0,WALMEX,2023
418808371000.0,154533030000.0,47427191000.0,137685754000.0,202468383000.0,,,69838582000.0,146727023000.0,818225636000.0,70416394000.0,89775599000.0,7049835000.0,63366559000.0,48974184000.0,WALMEX,2022
,,,,,,,,,,,,,,,WALMEX,2021
95389091000.0,39702252000.0,9153758000.0,6545513000.0,69471658000.0,982800000.0,2952104000.0,4013051000.0,41180911000.0,20045726000.0,26202204000.0,26202204000.0,4583790000.0,21618414000.0,14643300000.0,PINFRA,2025
83538732000.0,30821618000.0,5147578000.0,6295166000.0,57017496000.0,856800000.0,3888418000.0,4764032000.0,29574313000.0,18603755000.0,16754114000.0,17857304000.0,2899070000.0,13855044000.0,9187961000.0,PINFRA,2024
76909888000.0,25748564000.0,4491729000.0,5342896000.0,49445090000.0,846039000.0,5704113000.0,6574171000.0,27306745000.0,15531860000.0,11855292000.0,12913856000.0,2554504000.0,9300788000.0,6037335000.0,PINFRA,2023
74525532000.0,24268892000.0,855851000.0,4902360000.0,46105197000.0,639841000.0,6767136000.0,7442919000.0,23269410000.0,14340008000.0,10495981000.0,11715776000.0,3018138000.0,7477843000.0,5275882000.0,PINFRA,2022
,,,,,,,,,,,,,,,PINFRA,2021
20599285000.0,10649137000.0,7921798000.0,3988576000.0,16203772000.0,0.0,0.0,362953000.0,17356606000.0,20378972000.0,8785473000.0,9563975000.0,22982000.0,8762491000.0,6260634000.0,CMOCTEZ,2025
18868155000.0,10050195000.0,7591645000.0,3074426000.0,15380270000.0,0.0,0.0,357569000.0,13197197000.0,19797282000.0,9154928000.0,9851352000.0,16085000.0,9138843000.0,6521427000.0,CMOCTEZ,2024
17132202000.0,9530502000.0,7059640000.0,3462877000.0,13424931000.0,,,169776000.0,11982552000.0,19662251000.0,8643781000.0,9280382000.0,22751000.0,8621030000.0,6165776000.0,CMOCTEZ,2023
