total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
19183000000.0,6576000000.0,450000000.0,7943000000.0,5609000000.0,469000000.0,1383000000.0,7384000000.0,1882000000.0,23109000000.0,2444000000.0,4519000000.0,376000000.0,2068000000.0,1500000000.0,LPP,2026
17501000000.0,7629000000.0,846000000.0,8453000000.0,5299000000.0,817000000.0,182000000.0,5770000000.0,2017000000.0,20194000000.0,2464000000.0,4153000000.0,213000000.0,2251000000.0,1747000000.0,LPP,2025
13802000000.0,5829000000.0,1076000000.0,5654000000.0,4714000000.0,359000000.0,490000000.0,4756000000.0,1913000000.0,17406000000.0,2254000000.0,3637000000.0,207000000.0,2047000000.0,1607000000.0,LPP,2024
12921000000.0,5569200000.0,465000000.0,5213800000.0,3986000000.0,818200000.0,845000000.0,5325800000.0,840000000.0,15926500000.0,1303400000.0,2432600000.0,215900000.0,1087500000.0,486700000.0,LPP,2023
,,,,,,,,,,,,,,,LPP,2022
265048000000.0,80341000000.0,25461000000.0,60172000000.0,143617000000.0,1507000000.0,23657000000.0,37725000000.0,92597000000.0,267827000000.0,10427000000.0,24670000000.0,1414000000.0,9013000000.0,2531000000.0,PKN,2025
255395000000.0,68543000000.0,9637000000.0,60321000000.0,145771000000.0,3167000000.0,14979000000.0,29491000000.0,97089000000.0,294886000000.0,10119000000.0,24133000000.0,816000000.0,9303000000.0,2826000000.0,PKN,2024
264082000000.0,82801000000.0,13282000000.0,70566000000.0,151036000000.0,4496000000.0,10671000000.0,25896000000.0,99072000000.0,371916000000.0,31506000000.0,45699000000.0,943000000.0,30563000000.0,20922000000.0,PKN,2023
313177000000.0,126584000000.0,21046000000.0,122810000000.0,142070000000.0,7252000000.0,11973000000.0,28761000000.0,85992000000.0,282415000000.0,48825000000.0,56549000000.0,994000000.0,47831000000.0,39677000000.0,PKN,2022
,,,,,,,,,,,,,,,PKN,2021
19513699000.0,5358392000.0,1078992000.0,8447916000.0,2493708000.0,318202000.0,3829468000.0,9449070000.0,-5869095000.0,27152564000.0,2012106000.0,3901620000.0,905959000.0,1106147000.0,1101592000.0,ZAB,2025
17569248000.0,4381474000.0,749578000.0,7566074000.0,1388894000.0,329886000.0,4218930000.0,9403463000.0,-6949807000.0,23797040000.0,1785363000.0,3489375000.0,981653000.0,803710000.0,624262000.0,ZAB,2024
15570669000.0,3758186000.0,649139000.0,6122663000.0,898129000.0,173414000.0,5044955000.0,9230932000.0,-7447360000.0,19805851000.0,1459761000.0,2819008000.0,950073000.0,509688000.0,353724000.0,ZAB,2023
13296443000.0,2766256000.0,280704000.0,6096650000.0,575272000.0,481820000.0,3392712000.0,7473371000.0,-7801084000.0,16003432000.0,1236861000.0,2351593000.0,688063000.0,548798000.0,382333000.0,ZAB,2022
,,,,,,,,,,,,,,,ZAB,2021
3503320000.0,1334673000.0,114115000.0,180304000.0,3289859000.0,,,26038000.0,567982000.0,866989000.0,538998000.0,558501000.0,679000.0,538319000.0,594708000.0,CDR,2025
3026438000.0,1452274000.0,124886000.0,229805000.0,2774059000.0,,,20150000.0,439018000.0,798372000.0,429311000.0,446641000.0,875000.0,428436000.0,444253000.0,CDR,2024
2613500000.0,1162815000.0,178054000.0,171503000.0,2403223000.0,,,,450041000.0,1230199000.0,539355000.0,555900000.0,863000.0,538492000.0,481105000.0,CDR,2023
2276331000.0,1154146000.0,277827000.0,208679000.0,2031466000.0,,,28461000.0,342504000.0,952576000.0,394532000.0,408360000.0,1347000.0,393185000.0,347093000.0,CDR,2022
,,,,,,,46882000.0,,,,,,,,CDR,2021
19721200000.0,5316600000.0,2508200000.0,3592400000.0,10144300000.0,100000.0,4979500000.0,5640700000.0,3110700000.0,11458200000.0,2329500000.0,3462200000.0,469900000.0,1859600000.0,1517100000.0,ALE,2025
19517300000.0,5252700000.0,3762900000.0,2610400000.0,10087200000.0,0.0,5788200000.0,6361900000.0,1593600000.0,10367200000.0,2147700000.0,3191700000.0,531300000.0,1616400000.0,1034600000.0,ALE,2024
18538803000.0,4013966000.0,2049122000.0,2268089000.0,9043326000.0,2702000.0,6064785000.0,6685069000.0,558999000.0,10185317000.0,1073984000.0,2697960000.0,573815000.0,500169000.0,284058000.0,ALE,2023
19205795000.0,3178887000.0,877559000.0,2312601000.0,8981259000.0,1706000.0,6451821000.0,7143708000.0,274941000.0,9004916000.0,-1088077000.0,2094586000.0,551377000.0,-1639454000.0,-1916796000.0,ALE,2022
,,,,,,,,,,,,,,,ALE,2021
58240000000.0,13225000000.0,425000000.0,12069000000.0,32828000000.0,706000000.0,4413000000.0,5849000000.0,31062000000.0,36366000000.0,5607000000.0,7973000000.0,198000000.0,5409000000.0,3687000000.0,KGH,2025
53892000000.0,11607000000.0,691000000.0,11006000000.0,30990000000.0,1152000000.0,4286000000.0,6171000000.0,27374000000.0,35320000000.0,4860000000.0,6866000000.0,252000000.0,4608000000.0,2868000000.0,KGH,2024
