outcome,exposure,sample,n,firms,treat_coef,treat_se,treat_p,treat_tr_coef,treat_tr_se,treat_tr_p
icr,exp_stshare_z,VN,2418,532,-0.4371,0.5668,0.4407,,,
icr,exp_stshare_z,TR,1646,454,-0.2402,0.7332,0.7433,,,
icr,exp_stshare_z,pooled,4064,986,-0.4371,0.5755,0.4476,0.1969,0.9191,0.8304
altman_z,exp_stshare_z,VN,2542,536,-0.1169,0.0834,0.1612,,,
altman_z,exp_stshare_z,TR,1741,465,-0.0427,0.2728,0.8758,,,
altman_z,exp_stshare_z,pooled,4283,1001,-0.1169,0.0847,0.1675,0.0742,0.2799,0.7908
implied_rate,exp_stshare_z,VN,2542,536,0.0004,0.0013,0.7788,,,
implied_rate,exp_stshare_z,TR,1619,451,0.0081,0.0155,0.6025,,,
implied_rate,exp_stshare_z,pooled,4161,987,0.0004,0.0013,0.7825,0.0077,0.0152,0.6102
roa,exp_stshare_z,VN,2542,536,-0.0028,0.0021,0.1771,,,
roa,exp_stshare_z,TR,1741,465,0.0154,0.007,0.0272,,,
roa,exp_stshare_z,pooled,4283,1001,-0.0028,0.0021,0.1836,0.0182,0.0071,0.0107
icr,exp_lev_z,VN,2418,532,0.9799,0.61,0.1084,,,
icr,exp_lev_z,TR,1646,454,1.6924,0.8375,0.0435,,,
icr,exp_lev_z,pooled,4064,986,0.9799,0.6193,0.1137,0.7126,1.0265,0.4876
altman_z,exp_lev_z,VN,2542,536,0.0288,0.0816,0.7239,,,
altman_z,exp_lev_z,TR,1741,465,0.4044,0.3177,0.2034,,,
altman_z,exp_lev_z,pooled,4283,1001,0.0288,0.0828,0.7279,0.3756,0.3215,0.2428
implied_rate,exp_lev_z,VN,2542,536,0.0045,0.0014,0.0009,,,
implied_rate,exp_lev_z,TR,1619,451,-0.0124,0.0184,0.5001,,,
implied_rate,exp_lev_z,pooled,4161,987,0.0045,0.0014,0.0011,-0.0169,0.0179,0.345
roa,exp_lev_z,VN,2542,536,0.0027,0.0022,0.2192,,,
roa,exp_lev_z,TR,1741,465,0.0084,0.0073,0.2531,,,
roa,exp_lev_z,pooled,4283,1001,0.0027,0.0023,0.2261,0.0056,0.0075,0.4522
