country,exposure,outcome,n,firms,coef,se,p
TR,st_share_z,implied_rate,1684,466,0.0178,0.0163,0.274
TR,st_share_z,icr,1726,468,-0.421,0.7176,0.5575
TR,st_share_z,ebit_margin,4495,499,-0.0126,0.0115,0.2742
TR,st_share_z,debt_growth,4240,502,-0.0017,0.0345,0.9602
TR,fx_liab_z,implied_rate,1747,491,-0.0252,0.021,0.2285
TR,fx_liab_z,icr,1802,498,0.1759,0.7325,0.8102
TR,fx_liab_z,ebit_margin,4896,547,0.0232,0.0113,0.0411
TR,fx_liab_z,debt_growth,4375,536,-0.0546,0.0284,0.0542
VN,st_share_z,implied_rate,5468,522,-0.0017,0.0011,0.1069
VN,st_share_z,icr,5154,521,-0.3552,0.4972,0.475
VN,st_share_z,ebit_margin,5605,522,-0.0155,0.004,0.0001
VN,st_share_z,debt_growth,5198,522,0.0592,0.0192,0.0021
