country,variable,n,mean,sd,p25,median,p75
VN,log_assets,5708,27.919,1.596,26.797,27.865,28.887
VN,debt_to_assets,5708,0.25,0.17,0.108,0.225,0.371
VN,st_debt_share,5708,0.709,0.323,0.437,0.852,1.0
VN,implied_rate,5693,0.063,0.032,0.043,0.063,0.081
VN,icr,5340,9.225,15.698,1.408,3.29,9.963
VN,roa,5698,0.065,0.065,0.024,0.053,0.094
TR,log_assets,4783,21.315,2.15,19.771,21.364,22.806
TR,debt_to_assets,4780,0.228,0.19,0.062,0.195,0.351
TR,st_debt_share,4783,0.627,0.284,0.396,0.647,0.898
TR,implied_rate,3870,0.312,0.219,0.157,0.252,0.419
TR,icr,4673,2.68,6.502,0.293,1.068,2.441
TR,roa,4783,0.08,0.105,0.018,0.07,0.131
